transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_SAFE_0115,USR_1115,187.21,jewelry,10,7,1706,442,170.24,0.24,0.52,0
TXN_SAFE_0089,USR_1089,155.77,coffee_shop,11,7,1944,259,67.13,0.2,0.15,0
TXN_SAFE_0099,USR_1099,722.35,grocery,20,4,1479,262,264.58,0.29,0.35,0
TXN_SAFE_0017,USR_1017,552.08,restaurant,20,4,928,447,137.53,0.2,0.19,0
TXN_SAFE_0041,USR_1041,311.59,jewelry,9,7,766,130,288.59,0.14,0.33,0
TXN_SAFE_0019,USR_1019,104.67,coffee_shop,20,2,1202,212,274.11,0.21,0.23,0
TXN_SAFE_0100,USR_1100,468.52,grocery,7,1,1162,98,128.68,0.27,0.46,0
TXN_FRAUD_0002,USR_5002,3684.52,luxury,1,1,463,3,115.15,0.78,0.88,1
TXN_SAFE_0005,USR_1005,575.73,restaurant,17,2,2183,364,294.97,0.43,0.22,0
TXN_SAFE_0007,USR_1007,781.09,pharmacy,4,3,1534,376,246.39,0.14,0.58,0
TXN_SAFE_0076,USR_1076,352.39,jewelry,19,4,3866,397,152.29,0.31,0.16,0
TXN_SAFE_0069,USR_1069,289.42,online,5,5,688,128,96.92,0.39,0.25,0
TXN_SAFE_0127,USR_1127,778.35,pharmacy,18,6,1370,133,262.31,0.37,0.55,0
TXN_FRAUD_0021,USR_5021,4444.07,electronics,2,6,165,9,61.66,0.81,0.79,1
TXN_SAFE_0031,USR_1031,704.47,grocery,13,1,484,183,195.28,0.28,0.14,0
TXN_SAFE_0063,USR_1063,946.91,pharmacy,13,2,487,314,234.53,0.23,0.6,0
TXN_SAFE_0052,USR_1052,223.75,electronics,18,4,2343,62,61.28,0.19,0.26,0
TXN_SAFE_0001,USR_1001,701.12,pharmacy,5,2,518,403,154.11,0.56,0.26,0
TXN_SAFE_0155,USR_1155,491.33,online,21,5,1074,88,118.36,0.33,0.48,0
TXN_FRAUD_0006,USR_5006,4899.77,jewelry,2,3,58,4,74.26,0.76,0.83,1
TXN_SAFE_0026,USR_1026,85.92,electronics,11,5,3942,222,296.64,0.29,0.29,0
TXN_SAFE_0009,USR_1009,834.19,luxury,23,7,3700,271,218.48,0.59,0.45,0
TXN_SAFE_0015,USR_1015,514.55,pharmacy,23,7,3467,331,189.45,0.47,0.55,0
TXN_SAFE_0002,USR_1002,897.32,grocery,22,5,3012,426,175.81,0.27,0.42,0
TXN_SAFE_0132,USR_1132,702.47,restaurant,4,6,1881,409,247.52,0.48,0.58,0
TXN_FRAUD_0019,USR_5019,4423.7,electronics,2,2,340,9,139.44,0.83,0.77,1
TXN_FRAUD_0029,USR_5029,2785.43,electronics,1,3,500,10,53.75,0.78,0.88,1
TXN_SAFE_0133,USR_1133,784.57,grocery,21,3,1711,378,117.08,0.22,0.22,0
TXN_SAFE_0080,USR_1080,248.79,electronics,13,5,1339,279,222.76,0.56,0.11,0
TXN_SAFE_0054,USR_1054,262.07,restaurant,11,6,2508,95,87.27,0.37,0.44,0
TXN_SAFE_0053,USR_1053,566.85,coffee_shop,14,6,2691,99,216.4,0.12,0.57,0
TXN_SAFE_0020,USR_1020,225.05,fast_food,9,6,392,207,291.88,0.16,0.46,0
TXN_SAFE_0167,USR_1167,78.09,jewelry,11,7,1469,498,82.87,0.29,0.43,0
TXN_SAFE_0113,USR_1113,930.83,electronics,2,5,2303,288,229.05,0.5,0.53,0
TXN_SAFE_0037,USR_1037,610.94,restaurant,10,5,2032,214,110.26,0.35,0.4,0
TXN_SAFE_0120,USR_1120,212.41,luxury,10,2,1112,108,105.49,0.45,0.5,0
TXN_SAFE_0049,USR_1049,401.11,fast_food,14,6,2596,169,211.45,0.53,0.41,0
TXN_FRAUD_0012,USR_5012,2848.45,electronics,2,6,73,2,74.4,0.85,0.8,1
TXN_FRAUD_0026,USR_5026,4965.84,jewelry,2,1,138,10,85.24,0.85,0.85,1
TXN_SAFE_0158,USR_1158,857.99,pharmacy,18,5,1046,450,234.0,0.57,0.18,0
TXN_FRAUD_0018,USR_5018,2730.96,jewelry,2,6,327,2,72.84,0.77,0.9,1
TXN_FRAUD_0000,USR_5000,1552.56,electronics,0,6,94,5,137.31,0.76,0.86,1
TXN_SAFE_0157,USR_1157,229.05,coffee_shop,21,1,684,498,231.05,0.3,0.43,0
TXN_SAFE_0084,USR_1084,835.46,coffee_shop,4,4,3427,413,242.14,0.53,0.34,0
TXN_SAFE_0012,USR_1012,585.02,pharmacy,0,1,255,395,169.6,0.22,0.11,0
TXN_FRAUD_0025,USR_5025,4466.76,electronics,2,2,482,2,141.8,0.83,0.79,1
TXN_SAFE_0077,USR_1077,396.98,electronics,8,3,2400,182,176.66,0.46,0.38,0
TXN_SAFE_0134,USR_1134,241.64,pharmacy,20,2,956,198,102.07,0.57,0.58,0
TXN_SAFE_0131,USR_1131,402.53,restaurant,14,4,2247,63,127.19,0.39,0.59,0
TXN_SAFE_0010,USR_1010,789.55,luxury,10,1,2712,249,61.26,0.44,0.43,0
TXN_SAFE_0029,USR_1029,196.9,electronics,13,7,2743,365,234.98,0.47,0.48,0
TXN_SAFE_0144,USR_1144,799.42,luxury,5,3,1023,213,278.91,0.56,0.21,0
TXN_SAFE_0086,USR_1086,51.23,pharmacy,11,3,3586,93,140.76,0.35,0.11,0
TXN_SAFE_0004,USR_1004,493.62,restaurant,21,6,1735,411,237.9,0.34,0.39,0
TXN_SAFE_0046,USR_1046,490.15,online,10,4,2419,318,193.05,0.15,0.42,0
TXN_SAFE_0072,USR_1072,912.06,jewelry,5,5,790,148,92.1,0.17,0.33,0
TXN_SAFE_0068,USR_1068,93.42,online,15,3,1874,251,219.91,0.13,0.36,0
TXN_FRAUD_0015,USR_5015,4914.85,jewelry,1,6,154,5,124.32,0.83,0.78,1
TXN_SAFE_0101,USR_1101,727.76,gas_station,5,4,846,372,265.96,0.52,0.48,0
TXN_SAFE_0003,USR_1003,274.77,restaurant,11,1,674,105,107.44,0.2,0.58,0
