transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_001,USR_101,1891.46,electronics,0,6,1146,126,239.9,0.7,0.6,0
TXN_002,USR_102,805.41,jewelry,4,6,439,347,76.98,0.1,0.8,0
TXN_003,USR_103,3017.54,fast_food,2,5,1748,17,190.15,0.1,0.9,0
TXN_004,USR_104,4167.24,grocery,2,2,972,259,88.53,0.2,0.2,0
TXN_005,USR_105,1542.08,online,0,5,834,367,152.58,0.4,0.3,0
TXN_006,USR_106,3070.91,fast_food,13,2,1859,302,73.6,0.3,0.4,0
TXN_007,USR_107,2296.67,gas_station,0,7,3320,82,205.96,0.3,0.5,0
TXN_008,USR_108,2974.3,luxury,10,3,656,111,54.52,0.6,0.2,0
TXN_009,USR_109,353.31,coffee_shop,3,1,1576,50,239.52,0.9,0.7,0
TXN_010,USR_110,1543.93,coffee_shop,11,5,1103,414,65.02,0.6,0.5,0
TXN_011,USR_111,636.53,grocery,23,4,2216,64,146.51,0.1,0.8,0
TXN_012,USR_112,1316.14,luxury,2,5,1220,425,180.82,0.3,0.5,0
TXN_013,USR_113,2747.15,online,11,5,807,361,82.9,0.9,0.7,0
TXN_014,USR_114,4699.31,electronics,1,6,953,396,228.44,0.6,0.8,0
TXN_015,USR_115,469.81,gas_station,2,7,973,444,85.18,0.1,0.4,0
TXN_016,USR_116,1961.73,electronics,12,3,1877,326,100.63,0.8,0.4,0
TXN_017,USR_117,1426.24,coffee_shop,5,3,1475,108,156.25,0.2,0.7,0
TXN_018,USR_118,400.52,gas_station,22,6,2674,37,247.31,0.7,0.3,0
TXN_019,USR_119,57.44,online,20,2,2207,374,212.17,0.7,0.7,0
TXN_020,USR_120,3863.21,jewelry,5,4,1574,139,60.18,0.4,0.2,0
TXN_021,USR_121,4319.62,fast_food,7,6,1348,432,172.78,0.4,0.2,0
TXN_022,USR_122,1575.58,grocery,7,7,151,413,111.66,0.7,0.6,0
TXN_023,USR_123,4439.45,coffee_shop,12,3,291,109,141.8,0.2,0.7,0
TXN_024,USR_124,3811.1,online,22,3,890,336,160.06,0.7,0.5,0
TXN_025,USR_125,2627.98,pharmacy,12,6,1899,74,132.65,0.1,0.2,0
TXN_026,USR_126,186.2,gas_station,4,2,3071,288,175.46,0.4,0.5,0
TXN_027,USR_127,4540.61,fast_food,8,6,2414,220,96.1,0.4,0.7,0
TXN_028,USR_128,1167.13,online,12,3,918,71,60.78,0.3,0.2,0
TXN_029,USR_129,4650.6,fast_food,15,1,3115,25,210.66,0.6,0.8,0
TXN_030,USR_130,4024.25,electronics,4,6,675,406,83.25,0.8,0.5,0
TXN_031,USR_131,4042.98,luxury,19,1,1596,196,228.7,0.4,0.2,0
TXN_032,USR_132,1162.84,online,14,5,1049,498,132.56,0.8,0.8,0
TXN_033,USR_133,64.55,fast_food,0,6,2972,59,149.7,0.4,0.3,0
TXN_034,USR_134,625.73,fast_food,8,7,2645,175,114.21,0.9,0.4,0
TXN_035,USR_135,2608.39,electronics,9,4,667,233,189.12,0.4,0.9,0
TXN_036,USR_136,4813.36,grocery,23,6,1098,498,96.62,0.5,0.3,0
