transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_001,USR_101,250.5,grocery,14,2,1245,156,89.3,0.1,0.2,0
TXN_002,USR_102,1500.0,electronics,23,5,89,12,234.5,0.8,0.9,1
TXN_003,USR_103,45.75,restaurant,19,1,2340,298,67.8,0.2,0.1,0
TXN_004,USR_104,3200.0,jewelry,2,7,45,3,145.6,0.9,0.8,1
TXN_005,USR_105,75.2,gas_station,8,3,890,89,78.9,0.1,0.1,0
TXN_006,USR_106,200.0,grocery,12,4,1567,234,92.4,0.2,0.3,0
TXN_007,USR_107,5000.0,online,3,6,23,1,67.8,0.9,0.9,1
TXN_008,USR_108,89.99,restaurant,20,5,2100,187,78.5,0.3,0.2,0
TXN_009,USR_109,1200.0,electronics,1,7,156,8,89.3,0.7,0.8,1
TXN_010,USR_110,35.6,coffee_shop,7,2,3400,456,45.2,0.1,0.1,0
TXN_011,USR_111,180.75,grocery,16,3,1890,267,98.7,0.2,0.2,0
TXN_012,USR_112,2800.0,luxury,22,6,67,4,234.5,0.8,0.9,1
TXN_013,USR_113,67.4,restaurant,18,4,2890,345,76.8,0.2,0.1,0
TXN_014,USR_114,450.0,electronics,11,1,567,45,123.4,0.4,0.5,0
TXN_015,USR_115,95.3,pharmacy,14,2,1678,198,67.9,0.1,0.2,0
TXN_016,USR_116,3500.0,jewelry,4,7,34,2,89.6,0.9,0.8,1
TXN_017,USR_117,125.8,grocery,10,3,2456,289,87.6,0.2,0.1,0
TXN_018,USR_118,750.0,electronics,21,5,234,23,156.7,0.6,0.7,1
TXN_019,USR_119,42.15,fast_food,13,4,1234,167,54.3,0.1,0.1,0
TXN_020,USR_120,1800.0,online,2,6,78,5,234.8,0.8,0.9,1
