TransactionID,Amount,Time,Location,Device,Class
75722,246.0,62149,Tokyo,Mobile,0
80185,72.56,70300,Tokyo,Tablet,0
19865,775.75,40127,Berlin,Desktop,0
76700,810.11,21571,Tokyo,Tablet,0
92992,284.32,71926,Mumbai,Tablet,0
76435,285.46,22466,New York,Mobile,0
84005,658.79,84058,Berlin,Mobile,0
80918,742.85,33929,Tokyo,Mobile,0
60768,812.78,43719,Tokyo,Mobile,0
50075,190.1,71195,Tokyo,Desktop,0
27702,972.83,5992,Tokyo,Tablet,0
42142,391.82,9118,Mumbai,Desktop,0
45081,754.69,1940,Mumbai,Tablet,0
16639,355.01,47392,London,Tablet,0
20425,927.38,36627,Berlin,Tablet,0
88703,871.81,12824,New York,Desktop,0
150,285.86,81799,Tokyo,Mobile,1
1762,845.91,6498,New York,Desktop,1
63121,787.69,72802,Mumbai,Desktop,0
69162,537.12,42029,New York,Mobile,0
64884,181.56,49052,Tokyo,Desktop,0
2496,497.4,21590,Mumbai,Mobile,1
80297,449.38,26854,Mumbai,Tablet,0
19448,526.57,29557,London,Desktop,0
41332,57.75,40087,London,Tablet,0
14889,947.17,66661,Berlin,Mobile,0
88637,359.79,22988,New York,Desktop,0
94893,118.23,59995,Mumbai,Mobile,0
92732,480.18,51107,Berlin,Desktop,0
29131,897.47,72486,Tokyo,Mobile,0
79023,935.31,31032,New York,Tablet,0
84937,161.74,71656,Mumbai,Mobile,0
16822,532.17,65490,New York,Tablet,0
36734,526.16,48243,London,Mobile,0
15603,598.22,78313,Tokyo,Mobile,0
28534,760.94,4453,Tokyo,Tablet,0
69770,399.03,65775,London,Mobile,0
11406,594.35,995,Berlin,Mobile,0
96853,66.48,72136,Mumbai,Tablet,0
16131,748.91,63906,London,Tablet,0
19793,502.28,2587,London,Tablet,0
89578,970.08,73999,Mumbai,Desktop,0
40164,284.56,55734,New York,Mobile,0
31777,104.37,13885,Berlin,Mobile,0
25331,51.43,84566,Tokyo,Tablet,0
79157,830.12,33231,New York,Tablet,0
51686,610.97,50186,Tokyo,Desktop,0
75499,993.1,75901,New York,Desktop,0
4728,845.44,65025,New York,Tablet,1
85199,337.23,49822,Berlin,Desktop,0
35796,650.22,33589,Berlin,Desktop,0
12257,321.4,66023,Tokyo,Mobile,0
35719,981.73,43185,Mumbai,Desktop,0
70552,738.74,32461,London,Mobile,0
54375,532.22,21814,Tokyo,Desktop,0
39692,582.29,69839,London,Tablet,0
93703,200.07,67474,Tokyo,Desktop,0
73692,454.57,73591,Tokyo,Desktop,0
98071,102.56,8113,Mumbai,Tablet,0
576,950.03,22083,London,Tablet,1
84611,497.99,16071,Berlin,Mobile,0
61770,349.29,14095,London,Mobile,0
32261,500.84,22161,Mumbai,Mobile,0
82200,329.76,74812,Berlin,Tablet,0
36291,183.16,47875,London,Desktop,0
78450,75.74,75922,London,Mobile,0
60056,247.37,14909,London,Desktop,0
45949,774.03,81537,New York,Desktop,0
28178,241.34,85931,Mumbai,Tablet,0
84464,22.77,83016,Mumbai,Mobile,0
579,497.2,2214,Berlin,Desktop,1
30960,830.94,70359,Mumbai,Desktop,0
64291,30.52,18500,Berlin,Mobile,0
14532,982.62,1719,Berlin,Mobile,0
17934,138.59,57521,London,Tablet,0
33609,239.64,74108,Tokyo,Desktop,0
49960,427.06,28643,Mumbai,Desktop,0
66599,329.79,35490,Tokyo,Mobile,0
99090,755.95,13383,Tokyo,Mobile,0
34452,84.2,30660,Mumbai,Mobile,0
34081,944.76,67483,Mumbai,Desktop,0
63588,132.19,43625,London,Mobile,0
4294,908.94,20622,Berlin,Tablet,1
69103,29.6,20327,Berlin,Desktop,0
86412,418.76,46385,Berlin,Mobile,0
99477,278.78,81383,Berlin,Tablet,0
53930,636.98,57499,Mumbai,Tablet,0
87071,310.92,73924,New York,Tablet,0
65084,491.61,80874,London,Desktop,0
30713,630.94,28067,Mumbai,Tablet,0
49183,204.02,67560,London,Tablet,0
57235,403.82,60091,New York,Tablet,0
15664,384.9,55139,Berlin,Tablet,0
19967,740.84,20144,New York,Desktop,0
91913,97.0,71573,London,Tablet,0
91958,198.02,46734,Mumbai,Tablet,0
81347,789.9,49363,London,Mobile,0
55326,797.8,47962,New York,Mobile,0
29858,81.5,12892,Berlin,Desktop,0
71223,458.78,80632,Mumbai,Desktop,0
52459,322.52,19311,Mumbai,Tablet,0
88346,201.8,79035,Tokyo,Tablet,0
82364,279.07,3703,New York,Tablet,0
65350,530.94,79837,Mumbai,Mobile,0
59650,195.96,33185,Mumbai,Tablet,0
44953,378.62,9724,Tokyo,Mobile,0
39526,34.54,13708,Mumbai,Tablet,0
13936,191.63,54529,London,Tablet,0
93781,429.03,8013,New York,Mobile,0
89885,110.63,53108,Tokyo,Mobile,0
81144,351.44,4338,New York,Mobile,0
95800,866.14,14679,New York,Desktop,0
89405,712.51,18482,Berlin,Mobile,0
55224,630.85,23454,Mumbai,Mobile,0
73646,573.2,56142,Mumbai,Tablet,0
66294,976.37,63030,London,Tablet,0
65540,99.71,10497,London,Mobile,0
28111,849.21,5469,London,Tablet,0
