transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_00001,USR_101,1878.96,electronics,0,6,1146,126,240.14,0.69,0.58,0
TXN_00002,USR_102,788.53,jewelry,4,6,439,347,81.2,0.15,0.79,0
TXN_00003,USR_103,3009.56,pharmacy,2,5,1748,17,191.61,0.12,0.88,0
TXN_00004,USR_104,4163.89,grocery,2,2,972,259,92.47,0.25,0.25,0
TXN_00005,USR_105,1528.17,fast_food,0,5,834,367,154.95,0.45,0.33,0
TXN_00006,USR_106,3063.15,pharmacy,13,2,1859,302,77.9,0.33,0.39,0
TXN_00007,USR_107,2285.79,gas_station,0,7,3320,82,207.04,0.26,0.51,0
TXN_00008,USR_108,2966.15,coffee_shop,10,3,656,111,59.29,0.59,0.24,0
TXN_00009,USR_109,334.61,online,3,1,1576,50,239.78,0.87,0.75,1
TXN_00010,USR_110,1530.02,online,11,5,1103,414,69.53,0.65,0.45,0
TXN_00011,USR_111,618.97,grocery,23,4,2216,64,149.04,0.13,0.83,0
TXN_00012,USR_112,1301.31,coffee_shop,2,5,1220,425,182.5,0.35,0.52,0
TXN_00013,USR_113,2738.08,fast_food,11,5,807,361,86.97,0.88,0.72,0
TXN_00014,USR_114,4698.1,electronics,1,6,953,396,228.97,0.58,0.84,0
TXN_00015,USR_115,451.58,gas_station,2,7,973,444,89.2,0.14,0.36,0
TXN_00016,USR_116,1949.5,electronics,12,3,1877,326,104.27,0.76,0.39,0
TXN_00017,USR_117,1411.86,online,5,3,1475,108,158.54,0.21,0.74,0
TXN_00018,USR_118,382.01,gas_station,22,6,2674,37,247.38,0.72,0.26,0
TXN_00019,USR_119,37.56,fast_food,20,2,2207,374,213.09,0.67,0.68,0
TXN_00020,USR_120,3858.64,jewelry,5,4,1574,139,64.81,0.39,0.19,0
TXN_00021,USR_121,4316.89,pharmacy,7,6,1348,432,174.66,0.36,0.15,0
TXN_00022,USR_122,1561.8,grocery,7,7,151,413,115.04,0.68,0.61,0
TXN_00023,USR_123,4437.19,online,12,3,291,109,144.44,0.2,0.67,0
TXN_00024,USR_124,3806.32,fast_food,22,3,890,336,162.26,0.72,0.5,0
TXN_00025,USR_125,2618.44,luxury,12,6,1899,74,135.51,0.12,0.19,0
TXN_00026,USR_126,166.83,gas_station,4,2,3071,288,177.28,0.35,0.51,0
TXN_00027,USR_127,4538.76,pharmacy,8,6,2414,220,99.86,0.43,0.7,0
TXN_00028,USR_128,1151.7,fast_food,12,3,918,71,65.4,0.33,0.23,0
TXN_00029,USR_129,4649.19,pharmacy,15,1,3115,25,211.62,0.61,0.8,0
TXN_00030,USR_130,4020.32,electronics,4,6,675,406,87.31,0.81,0.53,0
TXN_00031,USR_131,4039.13,coffee_shop,19,1,1596,196,229.22,0.35,0.19,0
TXN_00032,USR_132,1147.4,fast_food,14,5,1049,498,135.42,0.75,0.79,0
TXN_00033,USR_133,44.69,pharmacy,0,6,2972,59,152.15,0.43,0.28,0
TXN_00034,USR_134,608.13,pharmacy,8,7,2645,175,117.52,0.85,0.36,0
TXN_00035,USR_135,2598.77,electronics,9,4,667,233,190.6,0.39,0.88,0
TXN_00036,USR_136,4812.61,grocery,23,6,1098,498,100.36,0.5,0.34,0
TXN_00037,USR_137,1431.35,pharmacy,5,5,455,446,57.38,0.59,0.5,0
TXN_00038,USR_138,266.88,gas_station,20,5,2514,102,105.73,0.83,0.29,0
TXN_00039,USR_139,733.03,restaurant,11,7,681,277,147.89,0.89,0.29,0
TXN_00040,USR_140,3363.96,pharmacy,0,5,1347,251,202.32,0.29,0.68,0
TXN_00041,USR_141,1845.24,grocery,3,3,3426,414,176.46,0.61,0.53,0
TXN_00042,USR_142,460.55,gas_station,7,1,1006,450,217.06,0.36,0.25,0
TXN_00043,USR_143,213.47,fast_food,2,1,3017,249,168.18,0.64,0.11,0
TXN_00044,USR_144,2565.34,electronics,17,7,535,66,95.3,0.62,0.24,0
TXN_00045,USR_145,3457.78,luxury,17,2,1105,271,127.35,0.85,0.21,0
TXN_00046,USR_146,1711.92,fast_food,13,2,2228,387,72.69,0.84,0.8,0
TXN_00047,USR_147,1297.13,jewelry,22,3,1654,344,182.0,0.75,0.54,0
TXN_00048,USR_148,2652.96,online,14,5,1869,62,98.37,0.17,0.82,0
TXN_00049,USR_149,4503.09,jewelry,7,1,1404,11,176.62,0.37,0.38,0
TXN_00050,USR_150,3632.52,fast_food,17,2,2430,113,229.42,0.81,0.72,0
TXN_00051,USR_151,3213.74,grocery,2,6,2604,31,66.83,0.23,0.82,0
TXN_00052,USR_152,3036.08,jewelry,2,1,1373,37,51.84,0.18,0.63,0
TXN_00053,USR_153,35.26,pharmacy,7,3,2760,249,82.16,0.54,0.65,0
TXN_00054,USR_154,3263.29,jewelry,17,2,2982,479,94.85,0.67,0.29,0
TXN_00055,USR_155,1633.74,fast_food,18,4,1015,402,199.3,0.62,0.78,0
TXN_00056,USR_156,3291.49,luxury,13,2,406,50,163.66,0.17,0.39,0
TXN_00057,USR_157,1333.36,coffee_shop,11,4,1703,240,98.8,0.88,0.41,0
TXN_00058,USR_158,4461.31,grocery,21,6,2666,51,176.23,0.74,0.5,0
TXN_00059,USR_159,2888.75,grocery,12,6,1409,410,148.5,0.26,0.68,0
TXN_00060,USR_160,1411.05,electronics,7,2,799,275,54.86,0.62,0.24,0
TXN_00061,USR_161,4702.89,luxury,4,4,771,143,240.79,0.83,0.4,0
TXN_00062,USR_162,87.13,luxury,7,7,328,227,235.66,0.44,0.87,0
TXN_00063,USR_163,4818.46,pharmacy,3,1,2691,277,220.6,0.34,0.41,0
TXN_00064,USR_164,4257.17,grocery,2,7,3496,122,113.38,0.24,0.55,0
TXN_00065,USR_165,4681.41,restaurant,13,4,1991,110,189.21,0.56,0.18,0
TXN_00066,USR_166,3078.89,coffee_shop,1,2,1572,2,248.01,0.21,0.51,0
TXN_00067,USR_167,4388.09,coffee_shop,8,7,3235,233,198.15,0.66,0.66,0
TXN_00068,USR_168,1803.86,gas_station,13,6,3012,402,108.72,0.75,0.75,0
TXN_00069,USR_169,4336.69,pharmacy,21,6,2013,80,232.65,0.51,0.5,0
TXN_00070,USR_170,3993.49,jewelry,9,2,259,297,179.99,0.66,0.74,0
TXN_00071,USR_171,4451.13,pharmacy,1,6,1304,30,117.6,0.4,0.18,0
TXN_00072,USR_172,2895.62,grocery,18,4,2079,471,57.19,0.47,0.53,0
TXN_00073,USR_173,1439.84,pharmacy,5,1,2100,42,168.17,0.12,0.13,0
TXN_00074,USR_174,4114.78,restaurant,2,5,298,346,122.04,0.2,0.52,0
TXN_00075,USR_175,3852.27,jewelry,12,1,2353,127,93.16,0.6,0.17,0
TXN_00076,USR_176,267.89,fast_food,19,1,2556,42,156.27,0.53,0.61,0
TXN_00077,USR_177,3633.2,coffee_shop,21,5,2335,268,245.17,0.51,0.36,0
TXN_00078,USR_178,3977.98,online,8,2,2763,367,104.17,0.45,0.16,0
TXN_00079,USR_179,136.5,online,7,3,1641,68,242.53,0.77,0.66,0
TXN_00080,USR_180,2050.68,gas_station,14,3,3099,480,84.66,0.23,0.3,0
TXN_00081,USR_181,2750.64,electronics,0,4,2564,289,192.92,0.63,0.32,0
TXN_00082,USR_182,4774.78,electronics,2,5,893,260,197.58,0.54,0.59,0
TXN_00083,USR_183,2103.8,gas_station,4,3,301,451,99.55,0.38,0.71,0
TXN_00084,USR_184,81.82,jewelry,11,3,666,225,73.21,0.14,0.13,0
TXN_00085,USR_185,4278.75,pharmacy,22,3,2525,414,190.73,0.48,0.18,0
TXN_00086,USR_186,2463.16,pharmacy,0,6,3366,284,144.69,0.24,0.45,0
TXN_00087,USR_187,1998.54,gas_station,21,1,570,136,173.17,0.61,0.14,0
TXN_00088,USR_188,1879.32,electronics,3,6,2286,80,175.17,0.5,0.79,0
TXN_00089,USR_189,3296.88,gas_station,9,5,882,368,82.59,0.16,0.61,0
TXN_00090,USR_190,142.29,online,6,6,2617,437,167.16,0.85,0.56,0
TXN_00091,USR_191,1946.97,gas_station,16,4,1048,464,178.66,0.47,0.54,0
TXN_00092,USR_192,4707.91,grocery,2,6,1754,425,127.22,0.87,0.82,0
TXN_00093,USR_193,987.0,gas_station,1,1,1386,395,63.87,0.18,0.11,0
TXN_00094,USR_194,481.27,restaurant,20,3,681,380,186.6,0.16,0.36,0
TXN_00095,USR_195,4225.93,luxury,17,6,1771,288,54.65,0.75,0.33,0
TXN_00096,USR_196,599.64,grocery,3,1,2850,463,189.35,0.6,0.8,0
TXN_00097,USR_197,3678.0,restaurant,17,1,3438,190,210.7,0.33,0.24,0
TXN_00098,USR_198,3755.57,fast_food,17,2,1780,66,211.37,0.89,0.43,0
TXN_00099,USR_199,1866.37,grocery,9,3,3280,498,205.28,0.37,0.84,0
TXN_00100,USR_200,4293.48,grocery,11,2,2813,128,135.8,0.7,0.7,0
TXN_00101,USR_201,524.59,electronics,11,7,2313,453,230.51,0.5,0.76,0
TXN_00102,USR_202,1607.05,coffee_shop,19,6,653,474,229.1,0.41,0.11,0
TXN_00103,USR_203,4527.86,jewelry,5,7,3340,91,68.26,0.36,0.86,0
TXN_00104,USR_204,4753.53,coffee_shop,0,2,3036,474,164.69,0.61,0.46,0
TXN_00105,USR_205,1473.12,online,13,7,2763,443,115.73,0.64,0.7,0
TXN_00106,USR_206,3959.98,jewelry,8,2,3245,360,207.92,0.17,0.5,0
TXN_00107,USR_207,297.22,electronics,12,7,178,440,159.91,0.45,0.81,0
TXN_00108,USR_208,1761.07,luxury,7,2,3364,471,73.41,0.21,0.71,0
TXN_00109,USR_209,3094.91,luxury,11,3,3380,408,70.22,0.17,0.66,0
TXN_00110,USR_210,373.09,jewelry,7,1,2723,99,214.37,0.66,0.17,0
TXN_00111,USR_211,433.34,coffee_shop,10,3,304,496,247.33,0.4,0.4,0
TXN_00112,USR_212,4065.87,gas_station,11,6,2106,205,239.45,0.89,0.7,0
TXN_00113,USR_213,1887.54,pharmacy,10,1,492,450,66.7,0.72,0.55,0
TXN_00114,USR_214,2126.87,gas_station,5,5,1107,20,231.27,0.19,0.49,0
TXN_00115,USR_215,66.65,electronics,19,4,1435,374,143.73,0.15,0.2,0
TXN_00116,USR_216,596.46,online,13,5,2114,60,179.84,0.7,0.57,0
TXN_00117,USR_217,4811.24,coffee_shop,18,2,1063,23,124.97,0.33,0.79,0
TXN_00118,USR_218,1125.74,coffee_shop,0,5,3323,276,242.64,0.11,0.88,0
TXN_00119,USR_219,225.37,jewelry,11,4,306,486,228.23,0.52,0.89,0
TXN_00120,USR_220,378.24,online,19,3,2737,435,160.77,0.88,0.52,1
TXN_00121,USR_221,3150.7,electronics,23,3,2097,159,189.15,0.46,0.6,0
TXN_00122,USR_222,2925.73,coffee_shop,10,4,2875,152,230.23,0.14,0.32,0
TXN_00123,USR_223,4752.55,pharmacy,4,2,1742,341,228.05,0.46,0.6,0
TXN_00124,USR_224,1394.13,coffee_shop,21,6,732,316,87.62,0.47,0.38,0
TXN_00125,USR_225,2922.44,fast_food,9,4,2264,427,65.55,0.88,0.89,0
TXN_00126,USR_226,3493.83,grocery,9,3,880,221,157.22,0.35,0.75,0
TXN_00127,USR_227,3426.81,fast_food,19,6,1339,239,82.52,0.83,0.76,0
TXN_00128,USR_228,4749.5,luxury,14,6,895,262,195.14,0.59,0.43,0
TXN_00129,USR_229,4664.32,luxury,23,2,2718,44,223.21,0.14,0.12,0
TXN_00130,USR_230,1888.55,gas_station,16,6,2612,318,212.11,0.89,0.22,0
TXN_00131,USR_231,2974.71,online,2,7,3096,121,126.18,0.88,0.77,1
TXN_00132,USR_232,4193.26,gas_station,7,7,835,76,143.74,0.43,0.32,0
TXN_00133,USR_233,291.31,grocery,1,2,1966,313,222.94,0.75,0.9,0
TXN_00134,USR_234,4983.22,electronics,14,4,2599,295,161.09,0.72,0.86,0
TXN_00135,USR_235,4249.74,jewelry,22,6,1592,254,99.47,0.46,0.2,0
TXN_00136,USR_236,4770.71,coffee_shop,7,2,2707,353,171.23,0.28,0.64,0
TXN_00137,USR_237,3094.46,grocery,3,7,1761,113,121.63,0.19,0.64,0
TXN_00138,USR_238,2606.34,restaurant,22,5,1922,26,204.46,0.52,0.78,0
TXN_00139,USR_239,2764.02,pharmacy,7,7,517,234,162.19,0.8,0.42,0
TXN_00140,USR_240,678.74,restaurant,14,6,2195,287,55.76,0.7,0.6,0
TXN_00141,USR_241,3523.36,fast_food,10,7,1832,314,92.59,0.21,0.11,0
TXN_00142,USR_242,1759.43,pharmacy,13,7,2264,229,167.98,0.41,0.45,0
TXN_00143,USR_243,4521.75,restaurant,23,7,1964,231,119.65,0.51,0.73,0
TXN_00144,USR_244,1988.75,gas_station,7,7,2631,142,174.42,0.79,0.86,0
TXN_00145,USR_245,743.9,pharmacy,15,6,999,141,235.32,0.49,0.31,0
TXN_00146,USR_246,2301.09,luxury,2,6,1190,121,246.01,0.49,0.36,0
TXN_00147,USR_247,3170.67,gas_station,10,3,2232,42,98.03,0.16,0.2,0
TXN_00148,USR_248,648.95,restaurant,4,2,1588,356,80.38,0.21,0.61,0
TXN_00149,USR_249,917.58,restaurant,22,2,283,213,119.13,0.82,0.48,0
TXN_00150,USR_250,3341.11,coffee_shop,10,5,1928,213,84.46,0.25,0.13,0
TXN_00151,USR_251,852.99,grocery,6,7,1740,200,105.72,0.24,0.17,0
TXN_00152,USR_252,611.97,fast_food,22,1,3155,295,142.16,0.27,0.39,0
TXN_00153,USR_253,2522.05,coffee_shop,15,1,1460,153,188.08,0.13,0.74,0
TXN_00154,USR_254,3143.22,coffee_shop,13,5,3081,377,66.35,0.8,0.84,0
TXN_00155,USR_255,314.78,pharmacy,19,2,2019,113,105.38,0.74,0.7,0
TXN_00156,USR_256,930.76,gas_station,13,4,138,200,91.87,0.4,0.49,0
TXN_00157,USR_257,3095.09,online,21,6,3289,208,123.78,0.47,0.7,0
TXN_00158,USR_258,193.05,restaurant,14,2,2568,274,100.49,0.67,0.82,0
TXN_00159,USR_259,2563.27,grocery,12,5,2331,340,156.42,0.19,0.46,0
TXN_00160,USR_260,2667.76,grocery,2,6,1775,70,98.49,0.32,0.4,0
TXN_00161,USR_261,110.16,luxury,5,1,1085,195,114.42,0.27,0.36,0
TXN_00162,USR_262,607.61,online,6,4,1358,173,228.11,0.57,0.64,0
TXN_00163,USR_263,3947.96,coffee_shop,8,7,3427,216,149.69,0.17,0.53,0
TXN_00164,USR_264,2938.34,gas_station,2,4,99,384,199.09,0.45,0.2,0
TXN_00165,USR_265,1426.04,pharmacy,1,3,938,333,122.62,0.62,0.56,0
TXN_00166,USR_266,1786.92,electronics,20,1,3109,16,247.3,0.58,0.29,0
TXN_00167,USR_267,517.89,jewelry,6,7,103,319,80.57,0.3,0.23,0
TXN_00168,USR_268,940.97,restaurant,7,2,1959,343,107.02,0.24,0.82,0
TXN_00169,USR_269,410.37,electronics,18,2,1924,359,154.9,0.43,0.89,0
TXN_00170,USR_270,569.07,gas_station,11,2,2501,311,129.57,0.88,0.79,0
TXN_00171,USR_271,4087.19,electronics,5,3,462,297,101.58,0.24,0.63,0
TXN_00172,USR_272,4647.59,grocery,9,5,2794,465,161.35,0.56,0.32,0
TXN_00173,USR_273,3849.77,coffee_shop,12,6,832,39,87.41,0.36,0.44,0
TXN_00174,USR_274,2542.98,fast_food,22,7,2589,125,98.48,0.19,0.59,0
TXN_00175,USR_275,1450.27,electronics,22,7,1255,436,166.25,0.22,0.48,0
TXN_00176,USR_276,2667.62,fast_food,3,7,2338,401,60.36,0.37,0.21,0
TXN_00177,USR_277,326.24,grocery,11,5,1774,339,247.99,0.36,0.75,0
TXN_00178,USR_278,1280.66,online,2,5,2672,175,186.3,0.71,0.58,0
TXN_00179,USR_279,2363.17,grocery,13,7,2027,55,132.37,0.38,0.84,0
TXN_00180,USR_280,4154.79,coffee_shop,11,6,3414,236,243.01,0.2,0.68,0
TXN_00181,USR_281,4692.32,restaurant,13,2,3025,268,86.25,0.15,0.69,0
TXN_00182,USR_282,2876.62,gas_station,19,7,2224,397,218.37,0.21,0.74,0
TXN_00183,USR_283,1016.12,luxury,14,4,3402,375,82.73,0.23,0.75,0
TXN_00184,USR_284,3329.33,fast_food,8,3,1025,426,154.61,0.39,0.8,0
TXN_00185,USR_285,1968.3,electronics,8,4,1018,385,213.32,0.45,0.4,0
TXN_00186,USR_286,2318.77,luxury,18,5,2756,195,110.28,0.7,0.5,0
TXN_00187,USR_287,1168.74,online,0,4,1351,94,229.91,0.41,0.53,0
TXN_00188,USR_288,4533.3,luxury,6,3,3287,133,174.85,0.19,0.85,0
TXN_00189,USR_289,3142.26,online,8,5,2892,451,116.98,0.21,0.74,0
TXN_00190,USR_290,3104.16,gas_station,17,1,2136,486,156.69,0.82,0.73,0
TXN_00191,USR_291,766.86,jewelry,2,2,2969,209,112.34,0.3,0.7,0
TXN_00192,USR_292,177.33,luxury,17,7,1004,354,163.98,0.71,0.8,0
TXN_00193,USR_293,1716.99,luxury,20,6,2030,230,214.25,0.19,0.78,0
TXN_00194,USR_294,646.17,grocery,2,3,927,208,129.46,0.74,0.22,0
TXN_00195,USR_295,1153.96,jewelry,9,6,2402,189,194.45,0.68,0.61,0
TXN_00196,USR_296,3472.8,luxury,17,5,1428,218,158.54,0.3,0.38,0
TXN_00197,USR_297,916.17,pharmacy,10,3,2898,233,231.69,0.57,0.42,0
TXN_00198,USR_298,2315.41,gas_station,9,3,964,62,239.46,0.22,0.57,0
TXN_00199,USR_299,2534.38,jewelry,10,1,3062,275,172.29,0.11,0.8,0
TXN_00200,USR_300,4661.27,restaurant,6,2,3045,248,163.03,0.66,0.84,0
