transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_00001,USR_101,2864.26,gas_station,11,1,1403,419,211.09,0.71,0.22,0
TXN_00002,USR_102,754.75,gas_station,9,3,3472,252,103.63,0.39,0.43,0
TXN_00003,USR_103,3401.69,electronics,7,2,1250,499,61.34,0.13,0.41,0
TXN_00004,USR_104,3488.85,luxury,10,3,3005,214,88.69,0.61,0.31,0
TXN_00005,USR_105,4431.57,fast_food,20,1,789,227,229.14,0.34,0.28,0
TXN_00006,USR_106,2062.41,jewelry,13,6,2004,389,98.11,0.64,0.76,0
TXN_00007,USR_107,3368.73,pharmacy,11,7,250,264,214.87,0.42,0.23,0
TXN_00008,USR_108,3692.38,restaurant,2,3,2926,260,122.09,0.64,0.32,0
TXN_00009,USR_109,415.34,coffee_shop,4,7,2167,451,248.52,0.22,0.89,0
TXN_00010,USR_110,4886.63,fast_food,0,2,809,449,208.76,0.63,0.56,0
TXN_00011,USR_111,4331.85,jewelry,1,2,155,234,107.89,0.47,0.6,0
TXN_00012,USR_112,2061.84,grocery,11,6,835,141,135.5,0.36,0.55,0
TXN_00013,USR_113,4254.37,online,14,5,1645,326,90.31,0.85,0.65,0
TXN_00014,USR_114,4118.13,electronics,21,1,1010,191,161.24,0.72,0.11,0
TXN_00015,USR_115,4093.72,luxury,19,4,747,492,58.03,0.81,0.89,0
TXN_00016,USR_116,1477.4,luxury,18,5,1452,177,92.06,0.71,0.3,0
TXN_00017,USR_117,4329.16,restaurant,8,6,3423,353,70.57,0.2,0.88,0
TXN_00018,USR_118,3372.46,electronics,9,1,1603,26,219.38,0.36,0.64,0
TXN_00019,USR_119,2975.27,restaurant,18,7,897,439,170.63,0.65,0.56,0
TXN_00020,USR_120,2151.02,jewelry,20,2,2795,106,105.18,0.71,0.28,0
TXN_00021,USR_121,3464.85,gas_station,20,4,2122,11,96.67,0.6,0.7,0
TXN_00022,USR_122,1101.38,grocery,15,2,2671,89,61.99,0.2,0.58,0
TXN_00023,USR_123,4248.74,fast_food,0,2,1053,312,59.0,0.69,0.37,0
TXN_00024,USR_124,2397.86,gas_station,22,6,2652,141,235.77,0.37,0.47,0
TXN_00025,USR_125,78.28,coffee_shop,12,7,1448,236,66.32,0.31,0.12,0
TXN_00026,USR_126,3160.56,gas_station,6,4,1257,347,135.28,0.54,0.24,0
TXN_00027,USR_127,1486.7,pharmacy,19,4,2414,53,182.76,0.87,0.14,0
TXN_00028,USR_128,4453.02,grocery,16,6,3474,430,165.38,0.55,0.5,0
TXN_00029,USR_129,356.28,online,17,6,2452,312,67.98,0.58,0.37,0
TXN_00030,USR_130,4587.17,gas_station,9,6,462,247,131.32,0.21,0.67,0
TXN_00031,USR_131,1473.83,electronics,10,3,2643,167,155.09,0.66,0.82,0
TXN_00032,USR_132,3963.03,gas_station,8,6,2932,488,185.27,0.64,0.86,0
TXN_00033,USR_133,1486.16,gas_station,6,2,2138,392,50.22,0.32,0.27,0
TXN_00034,USR_134,3312.55,jewelry,1,7,3306,415,176.74,0.57,0.11,0
TXN_00035,USR_135,3646.6,fast_food,12,6,1329,349,114.71,0.63,0.55,0
TXN_00036,USR_136,1720.23,restaurant,23,1,2704,255,76.92,0.18,0.77,0
TXN_00037,USR_137,4592.8,gas_station,8,4,1677,199,179.96,0.18,0.42,0
TXN_00038,USR_138,3647.41,grocery,18,6,2363,418,205.96,0.19,0.1,0
TXN_00039,USR_139,3563.56,jewelry,10,6,2941,114,121.32,0.3,0.11,0
TXN_00040,USR_140,2706.09,pharmacy,20,7,1968,465,220.23,0.87,0.55,0
TXN_00041,USR_141,2577.16,online,16,3,3482,88,67.01,0.54,0.4,0
TXN_00042,USR_142,3039.61,pharmacy,5,3,419,242,127.75,0.29,0.18,0
TXN_00043,USR_143,1581.44,restaurant,23,3,2990,414,69.33,0.24,0.89,0
